Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas1             Pavarde1          5          1          6          1          5
Vardas2             Pavarde2          9          6          10          2          10
Vardas3             Pavarde3          4          4          4          2          2
Vardas4             Pavarde4          1          9          2          1          9
Vardas5             Pavarde5          1          9          3          5          5
Vardas6             Pavarde6          1          2          2          2          1
Vardas7             Pavarde7          8          7          1          6          6
Vardas8             Pavarde8          3          8          7          1          5
Vardas9             Pavarde9          1          4          4          2          5
Vardas10             Pavarde10          2          9          8          8          7
Vardas11             Pavarde11          10          5          5          6          8
Vardas12             Pavarde12          7          1          4          2          1
Vardas13             Pavarde13          9          1          9          2          4
Vardas14             Pavarde14          6          9          4          1          10
Vardas15             Pavarde15          4          7          10          5          1
Vardas16             Pavarde16          5          6          3          3          8
Vardas17             Pavarde17          1          2          3          1          4
Vardas18             Pavarde18          2          1          3          5          1
Vardas19             Pavarde19          3          10          2          9          4
Vardas20             Pavarde20          6          5          3          7          8
Vardas21             Pavarde21          8          8          6          3          1
Vardas22             Pavarde22          8          10          6          6          2
Vardas23             Pavarde23          8          6          7          6          4
Vardas24             Pavarde24          9          10          5          1          2
Vardas25             Pavarde25          3          6          3          9          10
Vardas26             Pavarde26          2          2          8          5          9
Vardas27             Pavarde27          1          7          9          2          6
Vardas28             Pavarde28          1          5          8          9          4
Vardas29             Pavarde29          3          8          9          7          4
Vardas30             Pavarde30          3          10          1          8          2
Vardas31             Pavarde31          6          9          10          10          1
Vardas32             Pavarde32          5          8          9          7          5
Vardas33             Pavarde33          7          9          10          8          7
Vardas34             Pavarde34          3          2          4          2          10
Vardas35             Pavarde35          1          4          8          4          2
Vardas36             Pavarde36          2          2          7          4          6
Vardas37             Pavarde37          9          9          5          4          2
Vardas38             Pavarde38          8          7          7          3          7
Vardas39             Pavarde39          7          2          7          2          10
Vardas40             Pavarde40          1          4          10          6          4
Vardas41             Pavarde41          6          2          8          1          6
Vardas42             Pavarde42          7          10          7          10          1
Vardas43             Pavarde43          5          7          7          6          2
Vardas44             Pavarde44          7          3          4          10          10
Vardas45             Pavarde45          10          4          6          3          8
Vardas46             Pavarde46          1          2          7          3          5
Vardas47             Pavarde47          10          5          10          7          5
Vardas48             Pavarde48          7          7          7          5          4
Vardas49             Pavarde49          6          10          8          1          2
Vardas50             Pavarde50          7          10          9          6          4
Vardas51             Pavarde51          1          3          5          6          8
Vardas52             Pavarde52          10          2          6          4          7
Vardas53             Pavarde53          4          7          1          1          6
Vardas54             Pavarde54          6          1          2          3          10
Vardas55             Pavarde55          8          10          4          10          10
Vardas56             Pavarde56          10          6          2          4          7
Vardas57             Pavarde57          8          2          7          10          6
Vardas58             Pavarde58          8          10          4          10          1
